FID,Name,OutName,feature_x,feature_y
0,BC Line 1,371260_3,652332.7207,2346964.606
1,BC Line 2,371260_2,650066.103,2356764.642
2,BC Line 3,371260_1,644133.063,2351380.724
3,BC Line 4,373217_15,608126.1375,2358806.491
4,BC Line 5,373217_14,602360.3587,2370849.3
5,BC Line 6,373217_13,601792.3017,2376189.036
6,BC Line 7,373217_12,602587.5815,2365547.435
7,BC Line 8,373217_11,594218.208,2357253.802
8,BC Line 9,373217_10,590431.1612,2359980.476
9,BC Line 10,373217_7,584599.1091,2355890.465
10,BC Line 11,373217_8,582023.9173,2360927.237
11,BC Line 12,373217_9,585167.1661,2370091.891
12,BC Line 13,372780_6,588234.674,2374825.699
13,BC Line 14,372780_11,583008.5494,2372704.953
14,BC Line 15,372780_9,577100.7564,2370508.466
15,BC Line 16,373217_6,570056.8493,2355511.76
16,BC Line 17,372780_5,543244.5578,2361836.129
17,BC Line 18,372780_8,559831.8229,2373500.233
18,BC Line 19,372766_1,532110.6402,2373121.528
19,BC Line 20,372766_2,528399.3343,2373197.269
20,BC Line 21,372613_3,525142.474,2380392.658
21,BC Line 22,372613_2,524385.0647,2387133.601
22,BC Line 23,372613_1,517644.1213,2381604.513
23,BC Line 24,372522,515144.6704,2393495.84
24,BC Line 25,372780_2,522586.2174,2364884.701
25,BC Line 26,372766_3,519963.6875,2368349.849
26,BC Line 27,372780_10,580849.9327,2379767.795
